INSERT INTO cainiao.storage (userPhone, id, packageStatus) VALUES
('13728678327', '00000000000000000000', '待入库'),
('18121736142', '00000000000000000001', '已取件'),
('18091293106', '00000000000000000002', '已取件'),
('18031427661', '00000000000000000003', '待入库'),
('13595227424', '00000000000000000004', '已取件'),
('15763696254', '00000000000000000005', '已取件'),
('13193950139', '00000000000000000006', '已取件'),
('14592814283', '00000000000000000007', '已取件'),
('14766491612', '00000000000000000008', '待取件'),
('13674851181', '00000000000000000009', '待取件'),
('18280099255', '00000000000000000010', '待取件'),
('14741647610', '00000000000000000011', '待取件'),
('13328660971', '00000000000000000012', '待取件'),
('14741647610', '00000000000000000013', '待取件'),
('13728678327', '00000000000000000014', '待取件'),
('13328660971', '00000000000000000015', '已取件'),
('18117983664', '00000000000000000016', '待入库'),
('14583323002', '00000000000000000017', '已取件'),
('18031427661', '00000000000000000018', '已取件'),
('14766491612', '00000000000000000019', '已取件'),
('13313505787', '00000000000000000020', '已取件'),
('15379795911', '00000000000000000021', '待取件'),
('13915660239', '00000000000000000022', '待入库'),
('14583323002', '00000000000000000023', '待取件'),
('14592814283', '00000000000000000024', '待入库'),
('15650311419', '00000000000000000025', '待入库'),
('18952620628', '00000000000000000026', '已取件'),
('13674851181', '00000000000000000027', '已取件'),
('18831891002', '00000000000000000028', '待入库'),
('13595227424', '00000000000000000029', '待取件'),
('18280099255', '00000000000000000030', '待取件'),
('15934457160', '00000000000000000031', '已取件'),
('18280099255', '00000000000000000032', '待取件'),
('13915660239', '00000000000000000033', '待入库'),
('13638927054', '00000000000000000034', '待取件'),
('13328660971', '00000000000000000035', '待取件'),
('15755032879', '00000000000000000036', '待入库'),
('13119054338', '00000000000000000037', '待入库'),
('15673362191', '00000000000000000038', '待入库'),
('15650311419', '00000000000000000039', '待取件'),
('13342639994', '00000000000000000040', '待入库'),
('13328660971', '00000000000000000041', '待入库'),
('13728678327', '00000000000000000042', '待取件'),
('15763696254', '00000000000000000043', '已取件'),
('15829713047', '00000000000000000044', '待取件'),
('15763696254', '00000000000000000045', '待入库'),
('13342639994', '00000000000000000046', '待入库'),
('14741647610', '00000000000000000047', '待取件'),
('14535642779', '00000000000000000048', '待取件'),
('18802835970', '00000000000000000049', '待取件'),
('15736514637', '00000000000000000050', '待入库'),
('15736514637', '00000000000000000051', '待取件'),
('13331492275', '00000000000000000052', '已取件'),
('13424868753', '00000000000000000053', '待入库'),
('13342639994', '00000000000000000054', '已取件'),
('13036487291', '00000000000000000055', '已取件'),
('13313505787', '00000000000000000056', '待入库'),
('15673362191', '00000000000000000057', '待入库'),
('13728678327', '00000000000000000058', '待取件'),
('15934457160', '00000000000000000059', '待取件'),
('13313505787', '00000000000000000060', '待取件'),
('13313505787', '00000000000000000061', '已取件'),
('13595227424', '00000000000000000062', '待取件'),
('18236759424', '00000000000000000063', '待取件'),
('18250762790', '00000000000000000064', '待入库'),
('14592814283', '00000000000000000065', '待取件'),
('13595227424', '00000000000000000066', '已取件'),
('18831891002', '00000000000000000067', '待入库'),
('18802835970', '00000000000000000068', '待取件'),
('18280099255', '00000000000000000069', '待取件'),
('14592814283', '00000000000000000070', '已取件'),
('15763696254', '00000000000000000071', '已取件'),
('18280099255', '00000000000000000072', '待取件'),
('13699107237', '00000000000000000073', '已取件'),
('15128639179', '00000000000000000074', '待取件'),
('18582692491', '00000000000000000075', '已取件'),
('18121736142', '00000000000000000076', '已取件'),
('18121736142', '00000000000000000077', '待取件'),
('13119054338', '00000000000000000078', '已取件'),
('13638927054', '00000000000000000079', '待取件'),
('18831891002', '00000000000000000080', '待入库'),
('13728678327', '00000000000000000081', '待入库'),
('18250762790', '00000000000000000082', '待入库'),
('15755032879', '00000000000000000083', '已取件'),
('15763696254', '00000000000000000084', '已取件'),
('14741647610', '00000000000000000085', '待入库'),
('18117983664', '00000000000000000086', '待入库'),
('15763696254', '00000000000000000087', '待取件'),
('13313505787', '00000000000000000088', '待入库'),
('13328660971', '00000000000000000089', '待入库'),
('18068409160', '00000000000000000090', '已取件'),
('15934457160', '00000000000000000091', '待入库'),
('18117983664', '00000000000000000092', '待入库'),
('18036187372', '00000000000000000093', '已取件'),
('15755032879', '00000000000000000094', '待取件'),
('18831891002', '00000000000000000095', '待取件'),
('18132958838', '00000000000000000096', '已取件'),
('13674851181', '00000000000000000097', '待入库'),
('13331492275', '00000000000000000098', '待入库'),
('13454018322', '00000000000000000099', '待入库'),
('15934457160', '00000000000000000100', '已取件'),
('18633617771', '00000000000000000101', '已取件'),
('14741647610', '00000000000000000102', '待取件'),
('15093555563', '00000000000000000103', '已取件'),
('13595227424', '00000000000000000104', '待取件'),
('15650311419', '00000000000000000105', '待取件'),
('13036487291', '00000000000000000106', '待入库'),
('15093555563', '00000000000000000107', '待取件'),
('14592814283', '00000000000000000108', '已取件'),
('18952620628', '00000000000000000109', '已取件'),
('13096256645', '00000000000000000110', '已取件'),
('15755032879', '00000000000000000111', '待取件'),
('18928015486', '00000000000000000112', '已取件'),
('18928015486', '00000000000000000113', '待取件'),
('13699107237', '00000000000000000114', '待入库'),
('13342639994', '00000000000000000115', '待入库'),
('18036187372', '00000000000000000116', '待入库'),
('18068409160', '00000000000000000117', '待入库'),
('13915660239', '00000000000000000118', '待取件'),
('18952620628', '00000000000000000119', '待入库'),
('13674851181', '00000000000000000120', '待取件'),
('13674851181', '00000000000000000121', '已取件'),
('15650311419', '00000000000000000122', '待取件'),
('18633617771', '00000000000000000123', '待入库'),
('14535642779', '00000000000000000124', '待入库'),
('18121736142', '00000000000000000125', '待取件'),
('18068409160', '00000000000000000126', '已取件'),
('15934457160', '00000000000000000127', '已取件'),
('18280099255', '00000000000000000128', '待入库'),
('15736514637', '00000000000000000129', '待入库'),
('18031427661', '00000000000000000130', '待入库'),
('18739972062', '00000000000000000131', '待入库'),
('14583323002', '00000000000000000132', '待取件'),
('13915660239', '00000000000000000133', '已取件'),
('15673362191', '00000000000000000134', '待入库'),
('14592814283', '00000000000000000135', '已取件'),
('13728678327', '00000000000000000136', '待入库'),
('13313505787', '00000000000000000137', '已取件'),
('15093555563', '00000000000000000138', '待取件'),
('13595227424', '00000000000000000139', '已取件'),
('18121736142', '00000000000000000140', '待入库'),
('18121736142', '00000000000000000141', '待入库'),
('15650311419', '00000000000000000142', '待取件'),
('15829713047', '00000000000000000143', '已取件'),
('18831891002', '00000000000000000144', '待入库'),
('13595227424', '00000000000000000145', '已取件'),
('18031427661', '00000000000000000146', '已取件'),
('14592814283', '00000000000000000147', '待取件'),
('13331492275', '00000000000000000148', '待入库'),
('13119054338', '00000000000000000149', '待入库'),
('14592814283', '00000000000000000150', '待入库'),
('13331492275', '00000000000000000151', '已取件'),
('18091293106', '00000000000000000152', '待取件'),
('18802835970', '00000000000000000153', '已取件'),
('15650311419', '00000000000000000154', '待入库'),
('15128639179', '00000000000000000155', '已取件'),
('15763696254', '00000000000000000156', '待取件'),
('13699107237', '00000000000000000157', '待入库'),
('13096256645', '00000000000000000158', '待取件'),
('18236759424', '00000000000000000159', '待入库'),
('13096256645', '00000000000000000160', '待取件'),
('18952620628', '00000000000000000161', '已取件'),
('18117983664', '00000000000000000162', '待取件'),
('18802835970', '00000000000000000163', '已取件'),
('13915660239', '00000000000000000164', '待取件'),
('18031427661', '00000000000000000165', '待取件'),
('18831891002', '00000000000000000166', '待取件'),
('18280099255', '00000000000000000167', '已取件'),
('15514482304', '00000000000000000168', '已取件'),
('15379795911', '00000000000000000169', '已取件'),
('15650311419', '00000000000000000170', '待取件'),
('13728678327', '00000000000000000171', '待取件'),
('18739972062', '00000000000000000172', '待入库'),
('14766491612', '00000000000000000173', '已取件'),
('18031427661', '00000000000000000174', '待入库'),
('13331492275', '00000000000000000175', '待取件'),
('18036187372', '00000000000000000176', '已取件'),
('13454018322', '00000000000000000177', '待入库'),
('13193950139', '00000000000000000178', '已取件'),
('18236759424', '00000000000000000179', '待取件'),
('18952620628', '00000000000000000180', '待取件'),
('14766491612', '00000000000000000181', '待入库'),
('13699107237', '00000000000000000182', '已取件'),
('13331492275', '00000000000000000183', '已取件'),
('15514482304', '00000000000000000184', '已取件'),
('13674851181', '00000000000000000185', '待取件'),
('13193950139', '00000000000000000186', '待取件'),
('15514482304', '00000000000000000187', '已取件'),
('18121736142', '00000000000000000188', '待取件'),
('13331492275', '00000000000000000189', '已取件'),
('18952620628', '00000000000000000190', '已取件'),
('18036187372', '00000000000000000191', '待入库'),
('13563537603', '00000000000000000192', '待入库'),
('18132958838', '00000000000000000193', '待取件'),
('14741647610', '00000000000000000194', '已取件'),
('15763696254', '00000000000000000195', '已取件'),
('13699107237', '00000000000000000196', '待入库'),
('13699107237', '00000000000000000197', '已取件'),
('13454018322', '00000000000000000198', '待入库'),
('13563537603', '00000000000000000199', '待入库'),
('18091293106', '00000000000000000200', '待入库'),
('13328660971', '00000000000000000201', '待入库'),
('18068409160', '00000000000000000202', '待入库'),
('13096256645', '00000000000000000203', '待入库'),
('15650311419', '00000000000000000204', '待取件'),
('13342639994', '00000000000000000205', '待取件'),
('14766491612', '00000000000000000206', '已取件'),
('15829713047', '00000000000000000207', '待取件'),
('14741647610', '00000000000000000208', '待入库'),
('18739972062', '00000000000000000209', '待入库'),
('14741647610', '00000000000000000210', '已取件'),
('15673362191', '00000000000000000211', '待入库'),
('18831891002', '00000000000000000212', '待取件'),
('15673362191', '00000000000000000213', '待取件'),
('13563537603', '00000000000000000214', '已取件'),
('14535642779', '00000000000000000215', '已取件'),
('14592814283', '00000000000000000216', '待入库'),
('18952620628', '00000000000000000217', '已取件'),
('13563537603', '00000000000000000218', '待入库'),
('15514482304', '00000000000000000219', '待入库'),
