INSERT INTO cainiao.users (userPhone, userName) VALUES
('13313505787', '刘淑英'),
('13036487291', '沙刚'),
('15829713047', '王健'),
('13638927054', '张燕'),
('14741647610', '丁洋'),
('18031427661', '许小红'),
('15514482304', '许云'),
('13424868753', '杨荣'),
('13331492275', '张明'),
('18091293106', '胡宇'),
('13915660239', '许红'),
('13342639994', '王东'),
('15673362191', '李建'),
('18117983664', '程建军'),
('18068409160', '李兵'),
('13563537603', '刘波'),
('13328660971', '余洋'),
('18928015486', '张淑兰'),
('18236759424', '张小红'),
('15755032879', '黄欣'),
('18036187372', '郑宇'),
('13193950139', '陈云'),
('15934457160', '朱莉'),
('18121736142', '沈帆'),
('13728678327', '钟建'),
('14535642779', '林建军'),
('18802835970', '胡桂英'),
('13674851181', '钱健'),
('18132958838', '陈莹'),
('15379795911', '赵红霞'),
('18582692491', '谢秀兰'),
('18633617771', '郭畅'),
('15736514637', '阎莉'),
('18280099255', '卓俊'),
('14592814283', '周琴'),
('14766491612', '钱雷'),
('18250762790', '何建国'),
('18831891002', '马辉'),
('15763696254', '杨阳'),
('13096256645', '印鹏'),
('13699107237', '阎桂珍'),
('14583323002', '郑金凤'),
('13119054338', '佟冬梅'),
('15128639179', '覃彬'),
('18952620628', '朱海燕'),
('13595227424', '戴龙'),
('18739972062', '李桂兰'),
('15650311419', '薛杨'),
('13454018322', '杜秀芳'),
('15093555563', '周博');
